Sentence_Id,Article_ID,Article,Original_Sentence,Simplification,Rating
242,6,Spielwürfel,"Allerdings können die Landewahrscheinlichkeiten neben der Geometrie noch von anderen Bedingungen abhängen, zum Beispiel von der Reibung zwischen Würfel und Unterlage oder – auch unbeabsichtigt – von der Wurftechnik.",Die Landewahrscheinlichkeiten des Würfels hängen von verschiedenen Bedingungen ab. Eine ist die Form des Würfels. Daneben sind zum Beispiel auch die Reibung zwischen Würfel und Unterlage sowie die Wurftechnik wichtig.,Deutlich einfacher
245,6,Spielwürfel,"Weitere Anforderungen sind, dass der Würfel gut – aber nicht zu lange – rollt und dass die Ruhelagen eine gewisse Stabilität aufweisen.","Der Würfel muss gut rollen, nicht zu lange und dann muss er ruhig liegen.",Deutlich einfacher
248,6,Spielwürfel,"Beim Casinospiel Craps sowie von einigen Rollenspielern ist dies jedoch verpönt, da ungleichmäßige Abrundungen bestimmte Landeflächen bevorzugen könnten.",Bei dem Casionspiel Craps und bei einigen Spielern ist das aber unerwünscht. Bei ungleichen Abrundungen landen die Würfel nämlich öfter auf bestimmten Flächen.,Deutlich einfacher
249,6,Spielwürfel,"Gelegentlich wird die Wahrscheinlichkeitsverteilung bewusst zugunsten bestimmter Ergebnisse manipuliert, möglichst ohne den Würfel optisch zu verändern, um sich im Spiel einen Vorteil zu verschaffen.","Manchmal wird die Verteilung der Wahrscheinlichkeit manipuliert, um bestimmte Ergebnisse zu erreichen. Dabei wird der Würfel möglichst optisch nicht verändert, um im Spiel einen Vorteil zu haben. ",Etwas einfacher
252,6,Spielwürfel,"Zu stark gezinkte Würfel verraten sich durch eine torkelnde Rollbewegung, was beim Einsatz eines Würfelbechers aber nicht auffällt.","Gezinkte Würfel rollen unregelmäßiger. Das fällt aber nicht auf, wenn man einen Würfelbecher benutzt.",Deutlich einfacher
253,6,Spielwürfel,"Eine weitere Möglichkeit ist es, im Inneren des Würfels einen Dauermagneten zu platzieren, um den Würfelwurf bei Bedarf durch einen zweiten Magneten, den man z.B. unter die Tischplatte hält, zu beeinflussen.","Im Innern eines Würfels kann auch ein Dauermagnet platziert werden.
Ein zweiter Magnet wird dann unter die Tischplatte gehalten.
 Beim Werfen des Würfels wird der Würfelwurf dadurch beeinflusst.",Etwas einfacher
260,7,Rasiermesser,Seit einigen Jahren finden Rasiermesser jedoch auch zunehmend im Privatbereich wieder eine wachsende Verwendung.,Seit einigen Jahren werden auch zuhause öfter Rasiermesser benutzt.,Deutlich einfacher
264,7,Rasiermesser,"Die Klinge muss vor jeder Rasur auf einem Streichriemen abgeledert und in regelmäßigen Abständen nachgeschliffen werden, um die Schärfe der Schneide zu erhalten.","Die Klinge muss vor jeder Rasur auf einem Lederriemen abgestrichen werden. In  regelmäßigen Abständen muss die Klinge nachgeschliffen werden, damit sie scharf bleibt. ",Etwas einfacher
268,7,Rasiermesser,"Die Existenz von Barbieren ist durch Grabszenen belegt, so etwa im Grab des Userhet (KV45), eines hohen Beamten der 18. Dynastie (1550–1292 v. Chr.).","Die Existenz von Barbieren (Friseuren) ist durch Grabszenen belegt. Man findet solche z.B. im Grab des Userhet, dies war ein hoher Beamter der 18.Dynastie (1550-1292 v.Chr.)",Deutlich einfacher
272,7,Rasiermesser,"Die Funktion dieser Messer ist laut Frank Gnegel, Autor einer Kulturgeschichte der Selbstrasur, „durch erhaltene Haarreste an den Schneiden eindeutig belegt“.",Frank Gnegel ist Autor einer Kulturgeschichte der Selbstrasur. Ihm nach ist die Funktion dieser Messer „durch erhaltene Haarreste an den Schneiden eindeutig belegt“.,Etwas einfacher
280,7,Rasiermesser,In Pompeji gefundene Exemplare von frühen Klapp-Rasiermessern mit 12 Zentimeter langen trapezförmigen Klingen und Griffen aus Elfenbein gehörten als Luxusobjekte zum Hausstand höherer Schichten.,In Pompeji wurden frühe Klapp-Rasiermesser gefunden. Diese hatten 12 Zentimeter lange Klingen in der Form von einem Trapez und Griffe aus Elfenbein. Sie gehörten meistens reichen Leuten und waren Luxus-Objekte.,Deutlich einfacher
281,7,Rasiermesser,Seit der Spätantike war die Bartlosigkeit ein Kennzeichen des abendländischen Klerus.,"Seit der Spätantike war es ein Zeichen für die Geistlichkeiten, keinen Bart zu tragen.",Etwas einfacher
282,7,Rasiermesser,Bei den Mönchsorden regelten genaue Vorschriften die Benutzung und Verwahrung der verwendeten Rasiermesser.,"Bei den Mönchsorden gab es genaue Vorschriften. So wurde genau geregelt, wie Rasiermesser benutzt und verwahrt werden sollten.",Deutlich einfacher
283,7,Rasiermesser,Sie wurden in einem geschlossenen Kasten aufbewahrt und von einem eigens hierfür bestimmten Bruder vor der Verwendung geschärft.,Sie wurden in einem geschlossenen Kasten aufbewahrt. Ein hierfür bestimmter Mönch schärfte sie vor der Verwendung. ,Deutlich einfacher
285,7,Rasiermesser,Allerdings wurde das Rasieren nicht durchgängig einheitlich gehandhabt.,Allerdings wurde nicht immer auf gleiche Art rasiert.,Deutlich einfacher
286,7,Rasiermesser,Mittelalterliche Bildquellen zeigen sowohl glattrasierte Kleriker als auch solche mit Vollbärten.,Auf mittelalterlichen Bildern sieht man Geistliche mit und ohne Vollbart. ,Etwas einfacher
289,7,Rasiermesser,"Erleichtert wurde der Vorgang allein in Badestuben, in denen Wasser oder Dämpfe das Barthaar vor der Verwendung des Rasiermessers erweichten.",In Badstuben wurde das Barthaar mit Wasser oder Dämpfen vor dem Rasieren erweicht. Das erleichterte die Rasur mit dem Rasiermesser.,Etwas einfacher
290,8,Vereinbarkeit von Familie und Beruf,"Unter der Vereinbarkeit von Familie und Beruf versteht man seit dem 20. Jahrhundert die Möglichkeit Erwachsener im arbeitsfähigen Alter, sich zugleich Beruf und Karriere einerseits und dem Leben in der Familie und der Betreuung von Kindern und pflegebedürftigen Personen andererseits zu widmen, unter Berücksichtigung der Schwierigkeiten, die dabei auftreten können.",Unter der Vereinbarkeit von familie und Beruf versteht man folgendes: Erwachsene im arbeitsfähigen Alter können sich Beruf und Karriere widmen. Gleichzeitig können sie in der Familie leben und Kinder und pflegebedürftige Personen betreuen. ,Deutlich einfacher
293,8,Vereinbarkeit von Familie und Beruf,"Eine Balance zwischen verschiedenen Lebensbereichen zu ermöglichen, gilt als eine wichtige gesellschaftspolitische Herausforderung, als ein betrieblich relevantes Thema bezüglich Wirtschaftlichkeit und Organisationskultur sowie als ein sozial, kulturell und pädagogisch bedeutsames Thema bezüglich der Gestaltung von Familienkultur.","Eine Balance zwischen verschiedenen Lebensbereichen zu ermöglichen gilt als eine wichtige gesellschaftspolitische Herausforderung. Diese Balance ist wichtig für Wirtschaftlichkeit und Organisationskultur. Aber auch für die Gestaltung der Familienkultur ist sie ein sozial, kulturell und pädagogisch bedeutsames Thema. ",Etwas einfacher
296,8,Vereinbarkeit von Familie und Beruf,"Wurde die Vereinbarkeit von Familie und Beruf ursprünglich mehr als die Frage angesehen, ob sich Mutterschaft und Berufstätigkeit überhaupt vereinbaren lassen,[1][2] entwickelte sich der gesellschaftliche Diskurs in den Industrienationen im Zuge der Emanzipation in die Richtung, wie sich für Mütter und Väter eine Berufstätigkeit mit der Erziehung der Kinder zeitlich vereinbaren lässt.","Früher war die Vereinbarkeit von Familie und Beruf eher als Frage angesehen, ob Mütter sich um ihre Kinder kümmern können und einen Beruf haben können. Später wurden die Frauen immer mehr den Männern gleich gestellt (Emanzipation). Der Begriff änderte sich also dazu, wie Eltern Beruf und die Erziehung der Kinder zeitlich kombinieren können.",Deutlich einfacher
297,8,Vereinbarkeit von Familie und Beruf,"Diesem Diskurs liegt die Annahme zugrunde, dass die Eltern jeweils arbeiten wollen oder müssen, dass also die elterliche Berufstätigkeit subjektiv als wertvoll betrachtet wird, etwa weil sie Zufriedenheit gewährt, Sinn stiftet, die soziale Einbindung fördert, die wirtschaftliche Existenz bzw. den Lebensstandard sichert oder weil mehrere dieser Gründe zutreffen.","Hier wird angenommen, dass die Eltern arbeiten wollen. Dadurch werden sie zufriedener und fühlen sich sozial eingebunden. Auch der Lebensstandard ist gesichert.",Etwas einfacher
299,8,Vereinbarkeit von Familie und Beruf,"Angesichts der Veränderung der Altersstruktur und des Anstiegs der Lebenserwartung in vielen Ländern rückt inzwischen auch die Betreuung und Pflege älterer oder pflegebedürftiger Angehöriger stärker in den Mittelpunkt des Interesses, auch der Politik.","In vielen Ländert verändert sich die Altersstruktur, die Lebenserwartung steigt. Deshalb sind Betreuung und Pflege älterer oder pflegebedürftiger Angehöriger in den Mittelpunkt des Interesses gerückt, auch der Politik.",Etwas einfacher
303,8,Vereinbarkeit von Familie und Beruf,Wortprägungen wie „weibliche Doppelverdiener“[5] wie auch der damals negativ konnotierte Begriff „Schlüsselkind“ wiesen zu dieser Zeit in Westdeutschland auf ungern gesehene Abweichungen vom Frauen- und Familienleitbild.,"Abweichungen vom Frauen- und Familienbild wurden damals in der Bundesrepublik mit negativ klingenden Begriffen wie ""weibliche Doppelverdiener"" oder ""Schlüsselkind"" kritisiert.",Deutlich einfacher
304,8,Vereinbarkeit von Familie und Beruf,"Vielfach wurde vermutet, der technische Fortschritt des 20. Jahrhunderts werde mehrheitlich zur Verringerung der Arbeitszeit und zu einem Anwachsen der Freizeit führen.","Oft wurde vermutet, dass der technische Fortschritt vom 20. Jahrhundert zu kürzeren Arbeitszeiten und mehr Freizeit führen.",Deutlich einfacher
308,8,Vereinbarkeit von Familie und Beruf,"Es wird gesagt, die gegenwärtige Ausrichtung der Gesellschaft und ökonomische Zwänge hätten vielmehr zu einem Anwachsen des Konsums, zu längeren Arbeitszeiten und zu einer Abwertung des Lebensbereichs Familie geführt.","Es wird gesagt, dass die moderne Gesellschaft und ökonomischen Zwänge zu mehr Verbrauch (Konsum), zu längeren Arbeitszeiten und zu eine Abwertung des Familienlebens geführt hat.",Deutlich einfacher
311,8,Vereinbarkeit von Familie und Beruf,"Studien belegen, dass die Frage, ob Kinder aus der Situation einen Nachteil oder auch einen Vorteil beziehen, nicht mit „Ja“ oder „Nein“ beantwortet werden kann: Die Wirkung der Berufstätigkeit auf das Kind hängt von Kontextfaktoren ab, insbesondere vom Berufskontext, von der Art der Verwendung von Zeit und Geld, von der Qualität der nichtelterlichen Kinderbetreuung und von der Zufriedenheit der Frau mit ihrer Rolle.","Studien zeigen, dass man nicht sagen kann, ob Kinder aus der Situation einen Nachteil oder Vorteil bekommen. Ob die Eltern arbeiten oder nicht wirkt auf das Kind immer unterschiedlich. Es hängt auch sehr von den Umständen ab. Die Umstände sind zum Beispiel der Beruf, die Verwendung von Zeit und Geld, die Qualität der Kinderbetreuung und davon, wie zufrieden die Frau mit ihrer Rolle ist.",Deutlich einfacher
313,8,Vereinbarkeit von Familie und Beruf,"Teilweise vertreten verschiedene gesellschaftliche Gruppen jeweils den Standpunkt der Wahlfreiheit, allerdings mit unterschiedlicher Gewichtung: Die eine Seite hebt die Möglichkeit zur Erwerbsarbeit auch mit Kindern hervor, die andere betont die Freiheit, auch die traditionelle Familienform zu wählen.","Verschiedene gesellschaftliche Gruppen sind für die Wahlfreiheit. Allerdings möchte die eine Gruppe, dass es auch möglich ist zu arbeiten, wenn man Kinder hat. Und die andere Gruppe findet es wichtig, dass man auch traditionelle Familienformen wählen kann. ",Deutlich einfacher
316,8,Vereinbarkeit von Familie und Beruf,In Deutschland werden Infrastrukturmaßnahmen in Kombination mit Änderungen der familienbezogenen Transferleistungen und der Besteuerung insbesondere als wesentlich für eine Verringerung der Kinder- und Familienarmut genannt.,"Um Kinder- und Familienarmut zu verringern, wurden in Deutschland viele Strukturen verändert. Es wurden Steuern und Förderungs-Gelder verändert.",Etwas einfacher
323,8,Vereinbarkeit von Familie und Beruf,"Diese Erwartung wird im Zusammenhang mit der hohen Scheidungsrate, den sich ändernden Regelungen zum Unterhalt und der Diskussion um eventuelle Änderungen der Witwen-/Witwerrente in verstärktem Maß auch von der Gesellschaft an sie herangetragen.","Diese Erwartung wird noch durch die Gesellschaft verstärkt, da immer mehr Ehen geschieden werden und die Regelungen zum Unterhalt geändert wurden. Außerdem erhöht sich der Erwartungsdruck durch die Diskussion um die Änderungen der Witwen-/Witwerrente.",Deutlich einfacher
324,8,Vereinbarkeit von Familie und Beruf,"Die Pluralisierung der Familienformen mit zunehmender Zahl von Patchwork- und Einelternfamilien erfordert gesellschaftliche Anpassungen, um eine finanzielle Überforderung der Unterhalt zahlenden Eltern beziehungsweise der Sozialsysteme zu vermeiden und zugleich allen Personen einen angemessenen Lebensunterhalt zu sichern.",Die Vielfalt der Familienformen mit zunehmender Zahl von Patchwork- und Einelternfamilien erfordert gesellschaftliche Anpassungen. Diese sollen die finanzielle Überforderung der Unterhalt zahlenden Eltern sowie der Sozialsysteme vermeiden. Zugleich soll allen Personen ein angemessener Lebensunterhalt gesichert werden.,Deutlich einfacher
327,8,Vereinbarkeit von Familie und Beruf,"Dies bezieht sich auf die spätere Altersrente, aber auch auf Fälle von Arbeitslosigkeit, Arbeitsunfähigkeit oder Trennung, denn bei Erwerbstätigkeit beider Partner besteht eine geringere Abhängigkeit von staatlicher Unterstützung oder Unterhaltszahlungen.","Dies bezieht sich auf die spätere Altersrente, aber auch auf Fälle von Arbeitslosigkeit, Arbeitsunfähigkeit oder Trennung. Bei Erwerbstätigkeit beider Partner besteht eine geringere Abhängigkeit von staatlicher Unterstützung oder Unterhaltszahlungen.",Etwas einfacher
328,8,Vereinbarkeit von Familie und Beruf,"In vielen Familien ist es zudem ökonomisch kaum möglich, dass sich ein Elternteil ganz der Haus- und Familienarbeit widmet – für eine zunehmende Zahl von Haushalten reicht Anfang des 21. Jahrhunderts ein Erwerbseinkommen allein nicht mehr zum Unterhalt einer Familie aus.","Oft können es sich Familien finanziell kaum leisten, dass ein Elterteil nicht arbeiten geht. Seit dem 21. Jahrhundert reicht das Gehalt einer Person für eine Familie häufig nicht aus.",Etwas einfacher
332,8,Vereinbarkeit von Familie und Beruf,"Als Gründe dafür, dass Väter ihre Arbeitszeit relativ selten für die Familienarbeit reduzieren, werden u. a. finanzielle Nachteile aufgrund von Gehaltsunterschieden zwischen Männern und Frauen, fehlende Teilzeitstellen für höhere Positionen sowie eine Profitorientierung der Konzerne, die auf familiäre Bedürfnisse der Angestellten keine Rücksicht nehme, genannt.","Väter reduzieren ihre Arbeitszeit relativ selten für die Familienarbeit. Das kann verschiedene Gründe haben. 
- Sie fürchten finanzielle Nachteile aufgrund von Gehaltsunterschieden zwischen Männern und Frauen
- es gibt keine Teilzeitstellen für höhere Positionen
- Konzerne nehmen auf familiäre Bedürfnisse der Angestellten keine Rücksicht, da sie profitorientiert organisiert sind",Deutlich einfacher
333,8,Vereinbarkeit von Familie und Beruf,"Eine Retraditionalisierung der Rollen findet Studien zufolge oft nach der Geburt des ersten Kindes statt: selbst bei vorher weitgehend egalitärem Rollenverständnis beider Partner werden nach der Geburt vor allem die Auffassungen der Männer wieder traditioneller, während die der Frauen egalitär bleiben; dies führe oft zu Spannungen in der Partnerschaft.","Nach der Geburt des ersten Kindes findet meisten eine Rückkehr zur Traditionalisierung der Rollen statt. Auch wenn das Rollenverständnis beider Partner vorher auf Gleichheit gerichtet war, werden nach der Geburt die Auffassungen der Männer wieder traditioneller. Die der Frau hingehen bleiben auf Gleichheit fokussierte. So kommt es oft zu Spannungen in der Partnerschaft. ",Etwas einfacher
335,9,Folgen der globalen Erwärmung,"Globale Erwärmung ist der beobachtete und prognostizierte Trend zu einer im Vergleich zu den vorindustriellen Werten höheren globalen Durchschnittstemperatur mit Folgen wie steigenden Meeresspiegeln, Gletscherschmelze, Verschiebung von Klimazonen, Vegetationszonen und Lebensräumen, verändertes Auftreten von Niederschlägen, stärkere oder häufigere Wetterextreme wie Überschwemmungen, Stürme und Dürren, Ausbreitung von Parasiten und tropischen Krankheiten sowie mehr Umweltflüchtlingen.","Globale Erwärmung ist der beobachtete und vorhergesagte Trend zu einer höhreren weltweiten Durschnittstemperatur als vor der Industrialisierung. Folgen sind: Steigende Meeresspiegel, Gletscherschmelze, Verschiebung von Klimazonen, Vegetationszonen und Lebensräumen, verändertes Auftreten von Niederschlägen, stärkere oder häufigere Wetterextreme wie Überschwemmungen, Stürme und Dürren, Ausbreitung von Parasiten und tropischen Krankheiten sowie mehr Umweltflüchtlingen.",Etwas einfacher
338,9,Folgen der globalen Erwärmung,"Während über die Ursachen der globalen Erwärmung weitgehend Einigkeit besteht[1] (hauptsächlich menschliche Emissionen von Treibhausgasen), werden ihre Folgen intensiv erörtert.",Über die Ursachen der globalen Erwärmung ist man sich weitgehend einig. Die Ursache sind hauptsächlich durch Menschen entstandene Treibhausgase. Die Folgen der globalen Erwärmung werden aber viel diskutiert.,Deutlich einfacher
340,9,Folgen der globalen Erwärmung,"Nach einer Studie des Stockholm Resilience Centre von 2009 ist der ermittelte Grenzwert für den Kohlendioxidgehalt der Atmosphäre bereits um 11 % überschritten, so dass der anthropogene Klimawandel nach dem Artensterben das zweitgrößte globale ökologische Problem darstellt; er ist dabei auch ein wesentliches Merkmal des Anthropozäns sowie eine der Folgen der zunehmenden Hemerobie.",Nach einer Studie vom Stockholm Resilience Centre von 2009 ist der Grenzwert für den Anteil von Kohlendioxid in der Atmosphäre bereits um 11% überschritten. Dadurch ist der durch die Menschen verursachte Klimawandel nach dem Artensterben das zweit größte ökologische Problem.,Deutlich einfacher
341,9,Folgen der globalen Erwärmung,"Über die möglichen Folgen der Erwärmungen informieren auch die Unterartikel Folgen der globalen Erwärmung in Deutschland, Folgen der globalen Erwärmung in Europa, Folgen der globalen Erwärmung in der Arktis, Folgen der globalen Erwärmung in der Antarktis sowie Folgen der globalen Erwärmung für den Weinbau.","Weitere Unterartikel informieren über die Folgen der globalen Entwicklung in Deutschland, in Europa, der Arktis und für den Weinbau.",Etwas einfacher
342,9,Folgen der globalen Erwärmung,"In welchem Ausmaß die Durchschnittstemperatur im Laufe des 21. Jahrhunderts ansteigt, hängt insbesondere von der Menge an Treibhausgasen ab, die ausgestoßen werden.","Wie stark die Temperatur im Durchschnitt im 21. Jahrhundert ansteigt, hängt vor allem von der Menge der ausgestoßenen Treibhausgase ab.",Etwas einfacher
348,9,Folgen der globalen Erwärmung,"Dazu gehören steigende Meeresspiegel, Gletscherschmelze oder statistisch signifikante Abweichungen vom gewöhnlichen Wettergeschehen (siehe unten).",Dazu gehört der steigende Meeres-Spiegel. Eine weitere Folge ist das Abschmelzen der Gletscher. Es kommt zudem zu deutlichen Abweichungen vom üblichen Wetter.,Etwas einfacher
351,9,Folgen der globalen Erwärmung,"Die Klimamodelle beschreiben derzeit auf globaler Ebene die Folgen recht gut, können diese jedoch auf regionaler Ebene nur recht unsicher abschätzen.",Die Klima-Modelle beschreiben derzeit auf globaler Ebene die Folgen recht gut. Sie können die Folgen aber für einzelne Regionen nur sehr unsicher abschätzen.,Etwas einfacher
353,9,Folgen der globalen Erwärmung,"Falls er in sehr kurzer Zeit erfolgen sollte, werden sowohl die ökonomischen Anpassungskosten als auch die Einflüsse auf die Natur voraussichtlich drastisch spürbar sein.","Falls der Klimawandel schnell erfolgen sollte, werden hohe Kosten enstehen und die Natur beeinflusst werden.",Etwas einfacher
355,9,Folgen der globalen Erwärmung,"Dem IPCC zufolge weisen von 29 436 Serien mit Beobachtungsdaten aus 75 Studien, die signifikante Veränderungen in physikalischen oder biologischen Systemen aufzeigen, 89 % mit den Erwartungen über eine erwärmte Welt übereinstimmende Veränderungen auf.",Laut dem IPCC zeigen 75 Studien deutliche Veränderungen in physikalischen und biologischen Systemen. 89% davon weisen eine globale Erwärmung nach.,Deutlich einfacher
356,9,Folgen der globalen Erwärmung,"Mit über 28.000 Datensätzen zu biologischen Veränderungen ist Europa hierbei deutlich überrepräsentiert, doch dass hiervon 90 % eine mit der Erwärmung übereinstimmende Veränderung anzeigen macht das Ergebnis auch sehr robust.","Für Europa gibt es 28.000 Datensätzen zu biologischen Veränderungen. Das ist deutlich mehr als für den Rest der Welt. 90% der Daten zeigen Veränderungen, die mit einer Erwärmung übereinstimmen. Das macht das Ergebnis sehr robust.",Deutlich einfacher
358,9,Folgen der globalen Erwärmung,Infolge der Eisschmelze in der Arktis und dem damit einhergehenden Verlust an beschwerender Masse steigt beispielsweise die Landmasse (-> „Landfläche“) Skandinaviens in Finnland und Schweden schneller als der regionale Meeresspiegel.,"In der Artkis schmilzt das Eis. Durch das fehlende Gewicht steigt die Landfläche schnell in die Höhe. Dieses passiert in Skandinavien schneller als der Anstieg des Meeresspiegels, also die Höhe des Wassers im Meer. Betroffen sind zum Beispiel Finnland und Schweden.",Deutlich einfacher
362,9,Folgen der globalen Erwärmung,"Den Hafen des schwedischen Luleå können viele Schiffe nicht mehr anlaufen, hier sinkt der Meeresspiegel jährlich ebenfalls um nahezu einen Zentimeter, prognostiziert für noch mindestens 600 weitere Jahre.",In dem Hafen des schwedischen Luleå können viele Schiffe nicht mehr anlegen. Dort sinkt der Meeresspiegel jährlich um fast einen Zentimeter. Das soll wohl auch die nächsten 600 Jahre weiter so sein.,Deutlich einfacher
370,9,Folgen der globalen Erwärmung,"Werden keine Maßnahmen zur Bekämpfung des Klimawandels getroffen, sind weltweit 16 % aller Arten vom Aussterben bedroht, wie eine 2015 in Science erschienene Übersichtsarbeit ergab.",Ohne  Maßnahmen zur Bekämpfung des Klimawandels sind weltweit 16 % aller Arten vom Aussterben bedroht. Dies ergab eine 2015 in Science erschienene Übersichtsarbeit. ,Deutlich einfacher
373,9,Folgen der globalen Erwärmung,"Laut dem vom Arktischen Rat in Auftrag gegebenen Arctic Climate Impact Assessment wird in zahlreichen polaren Gebieten die Artenvielfalt zunehmen, weil im Zuge der Erwärmung neue Arten in die Arktis einwandern werden und die Gesamtzahl der Arten und deren Produktivität zunehmen wird.","Laut dem Arctic Climate Impact Assessment, das vom Arktischen Rat in Auftrag gegebenen wurde, wird in zahlreichen polaren Gebieten die Artenvielfalt zunehmen. Grund hier ist, dass im Zuge der Erwärmung neue Arten in die Arktis einwandern werden und die Gesamtzahl der Arten und deren Produktivität zunehmen wird.",Etwas einfacher
377,9,Folgen der globalen Erwärmung,"Würden die Meere kein Kohlendioxid lösen, läge die atmosphärische Konzentration von Kohlenstoffdioxid einer Untersuchung aus dem Jahre 2004 zufolge um 55 ppm höher, zum damaligen Zeitpunkt also statt bei 380 ppm bei wenigstens 435 ppm.","Wenn die Meere kein Kohlendioxid aufnehmen würden, läge die Konzentration von Kohlenstoffdioxid in der Atmosphäre deutlich höher. Eine Untersuchungs aus dem Jahr 2004 zeigte, dass sie dann statt bei 380 ppm bei 435 ppm läge. ",Etwas einfacher
379,9,Folgen der globalen Erwärmung,"Verschiedene Effekte sorgen jedoch dafür, dass mit steigenden Temperaturen und wachsendem atmosphärischem CO2-Anteil die Aufnahmefähigkeit der Meere für Kohlenstoff abnimmt.",Bei steigender Temperaturen und steigendem Co2-Anteil in der Athmosphäre nimmt die Aufnahmefähigkeit der Meere für CO2 jedoch ab. ,Etwas einfacher
380,9,Folgen der globalen Erwärmung,"Wie weit die Aufnahmefähigkeit sinkt, lässt sich schwer beziffern.","Es ist schwer zu sagen, wie viel weniger Kohlenstoff das Meer aufnehmen kann.",Etwas einfacher
387,9,Folgen der globalen Erwärmung,Der mögliche Kollaps von Teilen des antarktischen Eisschildes[13][14] ist in diesen Berechnungen noch eingeschlossen und würde zu massiven zusätzlichen Erhöhungen führen.,Der mögliche Zusammenbruch von Teilen des antarktischen Eisschildes ist in diese Berechnungen eingeschlossen. Er würde zu massiven zusätzlichen Erhöhungen führen. ,Etwas einfacher
388,9,Folgen der globalen Erwärmung,"Für die Meeresspiegelerhöhung werden im Wesentlichen zwei Faktoren verantwortlich gemacht: Zum einen dehnt sich das Meerwasser bei höheren Temperaturen stärker aus, zum anderen kommt es bei höheren Temperaturen zum verstärkten Abschmelzen von Gletschern (siehe unten).",Für die Erhöhung vom Meeresstand gibt es zwei Gründe: Erstens dehnt sich Meerwasser bei höheren Temperaturen aus. Zweitens schmelzen bei höheren Temperaturen Teile von Gletschern.,Deutlich einfacher
398,10,Versauerung der Meere,"Die Folgen dieser Versauerung betreffen zunächst kalkskelettbildende Lebewesen, deren Fähigkeit, sich Schutzhüllen bzw. Innenskelette zu bilden, bei sinkendem pH-Wert nachlässt.","Die Folgen dieser Versauerung betreffen zuerst Tiere mit Skeletten, die vor allem aus Kalk bestehen. Diese Tiere können bei sinkendem pH-Wert nicht mehr gut Schutzhüllen und Innenskelette bilden.",Etwas einfacher
400,10,Versauerung der Meere,Der pH-Wert ist für ideal verdünnte Lösungen definiert und daher auf das salzhaltige Meereswasser nicht direkt anwendbar.,Der pH-Wert ist nur für ideal verdünnte Lösungen definiert. Deshalb kann man für salzhaltiges Meereswasser keinen pH-Wert bestimmen.,Etwas einfacher
401,10,Versauerung der Meere,"Um Durchschnittswerte für Meereswasser angeben zu können, müssen darüber hinaus Modelle angewendet werden, um ein chemisches Gleichgewicht des Ozeans zu simulieren.","Es müssen Modelle angewendet werden, die ein chemisches Gleichgewicht des Ozeans simulieren. Damit können dann Durchschnittswerte für Meerwasser angegeben werden. ",Etwas einfacher
406,10,Versauerung der Meere,"Die wichtigsten Ursachen für diese Differenz um 0,25 Einheiten sind die Temperatur des Wassers, der lokale Auftrieb von kohlenstoffdioxidreichem Tiefenwasser, sowie die biologische Produktivität, die dort, wo sie hoch ist, in Form von Meereslebewesen viel Kohlenstoffdioxid bindet und in tiefere Wasserschichten transportiert.","Es gibt drei wichtige Ursachen für diese Differenz um 0,25 EInheiten: Die Temperatur des Wassers, der lokale Auftrieb von kohlenstoffdioxidreichem Tiefenwasser und die biologische Produktivität. Meereslebewesen binden viel Konhlenstoffdioxid und transportiert dieses in tiefere Wasserschichten.",Etwas einfacher
408,10,Versauerung der Meere,"Aus der isotopischen Zusammensetzung von Borhydroxiden lässt sich bestimmen, dass der pH-Wert an der Meeresoberfläche vor etwa 21 Millionen Jahren etwa 7,4 ± 0,2 betrug, bis er vor ungefähr 7,5 Millionen Jahren auf den Wert von 8,2 ± 0,2 stieg.","Aus der Zusammensetzung von bestimmten Stoffen in Ablagerungen kann man bestimmen, dass der pH-Wert an der Meeresoberfläche vor eta 21 Millionen Jahren etwa 7,4 betrug. Vor 7,5 Millionen Jahren stieg er dann auf 8,2 an.",Deutlich einfacher
413,10,Versauerung der Meere,"Die Versauerung verläuft nach dem Fünften Sachstandsbericht des IPCC schneller als alle ähnlichen Versauerungen der vergangenen 65 Mio. Jahre, eventuell der vergangenen 300 Mio. Jahre.",Die Versauerung verläuft nach dem fünften Bericht des IPCC schneller als alle ähnlichen Versauerungen der letzten 65 Mio. Jahre. Vielleicht sogar der vergangenen 300 Mio. Jahre.,Etwas einfacher
414,10,Versauerung der Meere,"Einer 2005 erschienenen Studie der Stanford University zufolge, die einen vorindustriellen pH-Wert des oberflächennahen Meerwassers von durchschnittlich 8,25 annimmt, verringerte sich der pH-Wert durch die Aufnahme von Kohlenstoffdioxid auf den damaligen Wert von durchschnittlich 8,14.","Laut einer Studie der Stanford University von 2005 verringert sich der pH-Wert durch die Aufnahme von Kohlenstoffdioxid auf durchschnittlich 8,14. Die Studie nahm an, dass der pH-Wert des oberflächlichen Meerwassers vor der Industrialisierung 8,25 war.",Etwas einfacher
416,10,Versauerung der Meere,"In beiden Fällen wird die Versauerung auf die menschlichen Emissionen von Kohlenstoffdioxid zurückgeführt und mit 0,11 pH-Einheiten beziffert.","In beiden Fällen liegt die Versauerung am Kohlenstoffdioxid, das durch Menschen entstanden ist. Die Versauerung wurde mit 0,11 pH-Einheiten gemessen.",Deutlich einfacher
